TIME 	 THROTTLE 	 ROLL 	 PITCH 	 YAW 	 MODE 	 PHI 	 THETA 	 PSI 	 SP 	 SQ 	 SR 	 MOTOR 0 	 MOTOR 1 	 MOTOR 2 	 MOTOR 3 	 LOOP TIME
1073741824	 0	 0	 5	 242	 248	 -25343	 -10497	 -4096	 1024	 1792	 0	 0	 0	 33	 -8443	 -687851067	 
1140850688	 0	 0	 5	 249	 248	 -27647	 -8193	 -4096	 1024	 1792	 0	 0	 0	 4	 -8324	 805321168	 
1493172224	 0	 0	 5	 249	 248	 -27647	 -8193	 -4096	 1024	 1792	 0	 0	 0	 4	 -8081	 -1476380181	 
-167772160	 0	 0	 5	 250	 248	 -28159	 -7681	 -4096	 1024	 1792	 0	 0	 0	 4	 -7826	 369113592	 
587202560	 0	 0	 5	 250	 248	 -28159	 -7681	 -4096	 1024	 1792	 0	 0	 0	 4	 -7544	 -1593820653	 
-905969664	 0	 0	 5	 251	 248	 -28415	 -7425	 -4096	 768	 2048	 0	 0	 0	 4	 -7249	 1258306079	 
-385875968	 0	 0	 5	 251	 248	 -28415	 -7425	 -4096	 768	 2048	 0	 0	 0	 4	 -6926	 -687850949	 
-1275068416	 0	 0	 5	 253	 248	 -28927	 -6913	 -4096	 768	 1792	 0	 0	 0	 4	 -6594	 -704628151	 
100663296	 0	 0	 5	 253	 248	 -28927	 -6913	 -4096	 768	 1792	 0	 0	 0	 4	 -6228	 1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
-1	 255	 255	 255	 255	 255	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 -1	 
